CaseId,Evaluation
200001,0.99905056
200002,0.98264515
200003,0.8762473
200004,0.62049496
200005,0.9866785
200006,0.997815
200007,0.7774042
200008,0.9139305
200009,0.99195707
200010,0.87437916
200011,0.997908
200012,0.19315878
200013,0.9873912
200014,0.8156558
200015,0.62049496
200016,0.99260324
200017,0.27940002
200018,0.9873218
200019,0.21604367
200020,0.9752773
200021,0.92028123
200022,0.96997726
200023,0.6775599
200024,0.99859387
200025,0.99859387
200026,0.9547566
200027,0.98259324
200028,0.99889225
200029,0.9527057
200030,0.9991806
200031,0.9856023
200032,0.9913229
200033,0.0753833
200034,0.99211955
200035,0.9993773
200036,0.9852064
200037,0.7619967
200038,0.991054
200039,0.97088885
200040,0.9874978
200041,0.99939823
200042,0.9975834
200043,0.9996835
200044,0.9992568
200045,0.822693
200046,0.9605189
200047,0.99945945
200048,0.98466706
200049,0.99959344
200050,0.983094
200051,0.5986697
200052,0.987543
200053,0.95250374
200054,0.9989786
200055,0.99897707
200056,0.9605189
200057,0.9998319
200058,0.9827247
200059,0.9991806
200060,0.6573906
200061,0.57680225
200062,0.39944285
200063,0.09137874
200064,0.740534
200065,0.9299851
200066,0.4475864
200067,0.9993942
200068,0.9973859
200069,0.7469544
200070,0.5562677
200071,0.89703095
200072,0.9517814
200073,0.9949515
200074,0.45027113
200075,0.985878
200076,0.9996107
200077,0.93981737
200078,0.9951233
200079,0.8762473
200080,0.86806333
200081,0.013077386
200082,0.59647375
200083,0.8762473
200084,0.9997185
200085,0.999549
200086,0.89703095
200087,0.9791159
200088,0.94793034
200089,0.40582868
200090,0.97316957
200091,0.9905731
200092,0.3232707
200093,0.99876356
200094,0.49914786
200095,0.99180555
200096,0.99939823
200097,0.9987924
200098,0.27940002
200099,0.23008938
200100,0.9998951
200101,0.99692315
200102,0.9994573
200103,0.87189287
200104,0.987259
200105,0.9935162
200106,0.95250374
200107,0.96072865
200108,0.2886776
200109,0.9991806
200110,0.8920963
200111,0.99138826
200112,0.8172434
200113,0.99446183
200114,0.9374109
200115,0.96997726
200116,0.8762473
200117,0.9997068
200118,0.9991806
200119,0.1019959
200120,0.79755956
200121,0.8932687
200122,0.8762473
200123,0.9656741
200124,0.8246826
200125,0.99594694
200126,0.4303261
200127,0.9998319
200128,0.95453846
200129,0.99311984
200130,0.87783253
200131,0.25516477
200132,0.9993942
200133,0.033025254
200134,0.9996321
200135,0.9991806
200136,0.9969099
200137,0.8762473
200138,0.97064453
200139,0.05948876
200140,0.99905056
200141,0.9996948
200142,0.99887115
200143,0.9993942
200144,0.9991806
200145,0.9373973
200146,0.534956
200147,0.9997688
200148,0.0709477
200149,0.99992454
200150,0.9967956
200151,0.9997391
200152,0.99931633
200153,0.98820287
200154,0.99670297
200155,0.12706843
200156,0.9996321
200157,0.3333553
200158,0.9220813
200159,0.99959344
200160,0.99874145
200161,0.9906821
200162,0.9938406
200163,0.27548444
200164,0.2827571
200165,0.9996537
200166,0.9878176
200167,0.99945945
200168,0.99673516
200169,0.99174714
200170,0.890114
200171,0.11492944
200172,0.9738348
200173,0.99833304
200174,0.9993656
200175,0.9993259
200176,0.9997185
200177,0.9899086
200178,0.9873218
200179,0.99950767
200180,0.99150276
200181,0.9027159
200182,0.9996537
200183,0.94927764
200184,0.6618134
200185,0.87437916
200186,0.9759529
200187,0.9045595
200188,0.57680225
200189,0.86806333
200190,0.8762473
200191,0.87437916
200192,0.99920887
200193,0.99945945
200194,0.99725264
200195,0.9991806
200196,0.88916135
200197,0.9996321
200198,0.9995753
200199,0.9979997
200200,0.99583805
200201,0.4387787
200202,0.92398494
200203,0.5784158
200204,0.17276864
200205,0.87189287
200206,0.9992568
200207,0.999368
200208,0.9913229
200209,0.30611914
200210,0.45912573
200211,0.9992568
200212,0.97253644
200213,0.6763508
200214,0.8051804
200215,0.5559367
200216,0.7465912
200217,0.983094
200218,0.8762473
200219,0.8816818
200220,0.6752221
200221,0.8364205
200222,0.9992568
200223,0.7760413
200224,0.49914786
200225,0.5847633
200226,0.8870255
200227,0.97201
200228,0.8707531
200229,0.24145399
200230,0.94149387
200231,0.7786126
200232,0.99250305
200233,0.98802894
200234,0.99957734
200235,0.30044255
200236,0.7198552
200237,0.03734689
200238,0.99501354
200239,0.99278957
200240,0.9976325
200241,0.27940002
200242,0.91368115
200243,0.17952825
200244,0.82872057
200245,0.01246257
200246,0.72296226
200247,0.084185496
200248,0.9999776
200249,0.95478714
200250,0.94634145
200251,0.98597205
200252,0.995337
200253,0.9848876
200254,0.98592234
200255,0.21132812
200256,0.7947841
200257,0.76070017
200258,0.92406666
200259,0.18740372
200260,0.06648888
200261,0.9872444
200262,0.76070017
200263,0.7760413
200264,0.997792
200265,0.9976561
200266,0.87189287
200267,0.9997068
200268,0.98835117
200269,0.9175517
200270,0.9369089
200271,0.6218839
200272,0.999627
200273,0.9922891
200274,0.9969146
200275,0.9997956
200276,0.9899086
200277,0.86806333
200278,0.3774834
200279,0.9910813
200280,0.6689949
200281,0.9994667
200282,0.9898824
200283,0.28032374
200284,0.92336994
200285,0.5618808
200286,0.9993773
200287,0.9947596
200288,0.9973859
200289,0.60165787
200290,0.9996537
200291,0.30312443
200292,0.82311225
200293,0.9991806
200294,0.9993826
200295,0.9994037
200296,0.9500064
200297,0.9988745
200298,0.99073493
200299,0.9909651
200300,0.9987276
200301,0.9987024
200302,0.850583
200303,0.4434622
200304,0.4387787
200305,0.9093919
200306,0.99959344
200307,0.9202222
200308,0.96225214
200309,0.99692315
200310,0.9827439
200311,0.9905731
200312,0.91511184
200313,0.9977011
200314,0.9743491
200315,0.9902776
200316,0.9997068
200317,0.67241466
200318,0.7767775
200319,0.9994667
200320,0.99945945
200321,0.9975956
200322,0.9996107
200323,0.99914753
200324,0.98935354
200325,0.7020808
200326,0.19069777
200327,0.9984226
200328,0.989678
200329,0.9996107
200330,0.99772495
200331,0.7505395
200332,0.978323
200333,0.89146745
200334,0.8934155
200335,0.5562677
200336,0.99968493
200337,0.16929983
200338,0.9991806
200339,0.9967083
200340,0.9993305
200341,0.6516016
200342,0.9994342
200343,0.7767775
200344,0.98851156
200345,0.98414665
200346,0.47086656
200347,0.9920745
200348,0.87189287
200349,0.7767775
200350,0.055883713
200351,0.87437916
200352,0.9889314
200353,0.91511184
200354,0.9997534
200355,0.09112638
200356,0.9788377
200357,0.28032374
200358,0.9872444
200359,0.59878784
200360,0.98597205
200361,0.7531794
200362,0.8536941
200363,0.9985096
200364,0.9993611
200365,0.8364205
200366,0.99964726
200367,0.8961406
200368,0.6987315
200369,0.92028123
200370,0.9878176
200371,0.97787434
200372,0.5639849
200373,0.44339633
200374,0.9996395
200375,0.907747
200376,0.7198552
200377,0.67241466
200378,0.9708288
200379,0.99116725
200380,0.9991806
200381,0.98799044
200382,0.9373973
200383,0.99670297
200384,0.95213723
200385,0.987827
200386,0.9989343
200387,0.9856388
200388,0.9506956
200389,0.7350231
200390,0.5335827
200391,0.99412954
200392,0.9999027
200393,0.9807942
200394,0.17592962
200395,0.92020804
200396,0.797235
200397,0.99968493
200398,0.27940002
200399,0.9027159
200400,0.99275017
200401,0.99876356
200402,0.8961406
200403,0.8961406
200404,0.5196397
200405,0.999592
200406,0.41203538
200407,0.9855226
200408,0.9991806
200409,0.9743491
200410,0.98414665
200411,0.7549805
200412,0.8364205
200413,0.9978629
200414,0.7862504
200415,0.23133312
200416,0.97903264
200417,0.9923953
200418,0.9995322
200419,0.999368
200420,0.98878646
200421,0.9992823
200422,0.983094
200423,0.9998319
200424,0.96505773
200425,0.2961714
200426,0.6866557
200427,0.8837849
200428,0.8762473
200429,0.99116725
200430,0.8369883
200431,0.9975873
200432,0.92153895
200433,0.29086095
200434,0.9996086
200435,0.99463624
200436,0.98572946
200437,0.9997688
200438,0.7786126
200439,0.929781
200440,0.9878176
200441,0.20198879
200442,0.12754293
200443,0.912885
200444,0.9930878
200445,0.61429214
200446,0.9981206
200447,0.5847633
200448,0.18598333
200449,0.97963744
200450,0.63658804
200451,0.5483658
200452,0.9992568
200453,0.907747
200454,0.97937036
200455,0.8214734
200456,0.99964726
200457,0.97461075
200458,0.7786126
200459,0.59549904
200460,0.98597205
200461,0.8364205
200462,0.9991806
200463,0.92398494
200464,0.0818469
200465,0.7619967
200466,0.994645
200467,0.95478714
200468,0.98639673
200469,0.9998398
200470,0.94605917
200471,0.6831724
200472,0.25408933
200473,0.8961406
200474,0.98962796
200475,0.983094
200476,0.9943258
200477,0.37386942
200478,0.97876316
200479,0.5144273
200480,0.9345268
200481,0.99412954
200482,0.9112236
200483,0.9246811
200484,0.9975873
200485,0.9997849
200486,0.10314453
200487,0.99907255
200488,0.9934529
200489,0.305991
200490,0.98240083
200491,0.9283587
200492,0.87189287
200493,0.99942636
200494,0.99670297
200495,0.9741262
200496,0.9694764
200497,0.509464
200498,0.99711466
200499,0.98292315
200500,0.68839264
200501,0.94634145
200502,0.8762473
200503,0.88094336
200504,0.9996321
200505,0.99706525
200506,0.99985635
200507,0.98572946
200508,0.5784158
200509,0.9997254
200510,0.89194083
200511,0.99670297
200512,0.7198552
200513,0.96897405
200514,0.9342251
200515,0.9981206
200516,0.98802894
200517,0.9981206
200518,0.98896176
200519,0.9981206
200520,0.9981206
200521,0.9981206
200522,0.9791638
200523,0.9981206
200524,0.983094
200525,0.8483776
200526,0.5518639
200527,0.55072695
200528,0.929717
200529,0.27940002
200530,0.99942636
200531,0.9996086
200532,0.89703095
200533,0.6763508
200534,0.60165787
200535,0.99953127
200536,0.7946614
200537,0.98802894
200538,0.9969099
200539,0.97141844
200540,0.997908
200541,0.9997956
200542,0.9980724
200543,0.999592
200544,0.92020804
200545,0.33751073
200546,0.76070017
200547,0.9919119
200548,0.987827
200549,0.99073493
200550,0.9873218
200551,0.09101843
200552,0.87644374
200553,0.9912567
200554,0.7471611
200555,0.87189287
200556,0.59647375
200557,0.40831813
200558,0.99945945
200559,0.99501616
200560,0.89146745
200561,0.99905056
200562,0.9996321
200563,0.983094
200564,0.36814108
200565,0.8961406
200566,0.9993942
200567,0.9997254
200568,0.87189287
200569,0.28032374
200570,0.90637815
200571,0.9876538
200572,0.9876686
200573,0.99887115
200574,0.7066605
200575,0.9859977
200576,0.99993217
200577,0.9517814
200578,0.957424
200579,0.7549805
200580,0.85269594
200581,0.9788377
200582,0.7619967
200583,0.9705011
200584,0.73157847
200585,0.9989343
200586,0.6919623
200587,0.9993826
200588,0.9997068
200589,0.98769534
200590,0.19708748
200591,0.35655615
200592,0.34398717
200593,0.9373973
200594,0.945874
200595,0.5784158
200596,0.7036553
200597,0.9993656
200598,0.97253644
200599,0.9995153
200600,0.8364205
200601,0.9995322
200602,0.48917678
200603,0.636177
200604,0.93320525
200605,0.99028045
200606,0.99886775
200607,0.99995565
200608,0.929781
200609,0.8364205
200610,0.99596316
200611,0.9027159
200612,0.5847633
200613,0.9694764
200614,0.9812368
200615,0.9997894
200616,0.25408933
200617,0.9985096
200618,0.99934417
200619,0.9997068
200620,0.6484307
200621,0.9922891
200622,0.9998398
200623,0.99859387
200624,0.96897405
200625,0.72152936
200626,0.95594865
200627,0.87189287
200628,0.99130005
200629,0.98292315
200630,0.997922
200631,0.57508504
200632,0.991054
200633,0.9755249
200634,0.87246084
200635,0.57680225
200636,0.63658804
200637,0.99648213
200638,0.9997391
200639,0.99755496
200640,0.92025816
200641,0.86983943
200642,0.29086095
200643,0.65685904
200644,0.96688354
200645,0.88354987
200646,0.99090695
200647,0.9517814
200648,0.9975834
200649,0.20089003
200650,0.9996107
200651,0.9986212
200652,0.9821774
200653,0.9356923
200654,0.8762473
200655,0.9991806
200656,0.999995
200657,0.9873218
200658,0.89146745
200659,0.94345963
200660,0.98820287
200661,0.9913019
200662,0.23012646
200663,0.99594694
200664,0.30044255
200665,0.23327187
200666,0.9875475
200667,0.8364205
200668,0.9694764
200669,0.9177017
200670,0.99591583
200671,0.8837849
200672,0.9995753
200673,0.5784158
200674,0.99333453
200675,0.87189287
200676,0.99673516
200677,0.8762473
200678,0.9722295
200679,0.9882895
200680,0.774672
200681,0.8961406
200682,0.9045595
200683,0.9934902
200684,0.99073493
200685,0.38706112
200686,0.8762473
200687,0.97368467
200688,0.9975889
200689,0.9874978
200690,0.99326795
200691,0.98259324
200692,0.23327187
200693,0.82872057
200694,0.5886025
200695,0.94035226
200696,0.99964726
200697,0.062360693
200698,0.99909127
200699,0.99887854
200700,0.8762473
200701,0.39944285
200702,0.999368
200703,0.031458747
200704,0.99659145
200705,0.99188274
200706,0.98259324
200707,0.991217
200708,0.76070017
200709,0.9992568
200710,0.9964935
200711,0.9914381
200712,0.7786126
200713,0.9898622
200714,0.5169975
200715,0.9843089
200716,0.93154395
200717,0.7549805
200718,0.9995353
200719,0.11086311
200720,0.986173
