CaseId,Evaluation
200001,0.99987984
200002,0.99115974
200003,0.8853457
200004,0.67728883
200005,0.99331903
200006,0.99902046
200007,0.9144465
200008,0.9699425
200009,0.99812156
200010,0.8971275
200011,0.99928194
200012,0.116297774
200013,0.9984341
200014,0.9637726
200015,0.67728883
200016,0.9881527
200017,0.27842376
200018,0.99463576
200019,0.20353574
200020,0.966561
200021,0.9273969
200022,0.9892287
200023,0.6590347
200024,0.998735
200025,0.998735
200026,0.97295594
200027,0.9918989
200028,0.9990711
200029,0.9625537
200030,0.9996147
200031,0.99825114
200032,0.99813724
200033,0.054080524
200034,0.99882215
200035,0.9996705
200036,0.9896429
200037,0.81423664
200038,0.9987318
200039,0.9613344
200040,0.9965767
200041,0.9997242
200042,0.999424
200043,0.9998197
200044,0.999882
200045,0.94234455
200046,0.9917944
200047,0.99987614
200048,0.99622285
200049,0.999876
200050,0.9939805
200051,0.8165887
200052,0.9962135
200053,0.9954982
200054,0.9997203
200055,0.9995658
200056,0.9917944
200057,0.9999709
200058,0.95186484
200059,0.9996147
200060,0.8437125
200061,0.67235404
200062,0.5690105
200063,0.045934506
200064,0.79306006
200065,0.9449009
200066,0.34744862
200067,0.99975437
200068,0.9997514
200069,0.7333212
200070,0.2640221
200071,0.9042571
200072,0.96116036
200073,0.9975394
200074,0.653187
200075,0.9970843
200076,0.9999441
200077,0.9932672
200078,0.99724776
200079,0.8853457
200080,0.87373614
200081,0.025144193
200082,0.6520051
200083,0.8853457
200084,0.9998386
200085,0.99936444
200086,0.9042571
200087,0.9945688
200088,0.82093817
200089,0.44009942
200090,0.995948
200091,0.9970198
200092,0.42961422
200093,0.9995579
200094,0.5230034
200095,0.9971916
200096,0.9997242
200097,0.999236
200098,0.27842376
200099,0.28475583
200100,0.9999217
200101,0.9990012
200102,0.9993774
200103,0.8735933
200104,0.9935208
200105,0.99579006
200106,0.9954982
200107,0.9781592
200108,0.34734884
200109,0.9996147
200110,0.9168405
200111,0.9988275
200112,0.80905956
200113,0.9998952
200114,0.98962104
200115,0.9892287
200116,0.8853457
200117,0.99986935
200118,0.9996147
200119,0.20718455
200120,0.48911747
200121,0.98930043
200122,0.8853457
200123,0.9853618
200124,0.7552102
200125,0.9971921
200126,0.57565325
200127,0.9999709
200128,0.9688101
200129,0.9979773
200130,0.9081137
200131,0.108712986
200132,0.99975437
200133,0.058480464
200134,0.99919087
200135,0.9996147
200136,0.9995296
200137,0.8853457
200138,0.9096611
200139,0.085404746
200140,0.99987984
200141,0.99992716
200142,0.9975068
200143,0.99975437
200144,0.9996147
200145,0.95867294
200146,0.40138936
